# n_fm^-3 epsilon_MeVfm^-3 P_MeVfm^-3
1.773333333333333151e-01 1.689503509767984042e+02 2.042405436170679600e+00
1.779999999999999916e-01 1.695931898707886774e+02 2.047172705165366313e+00
1.786666666666666403e-01 1.702360464245772391e+02 2.051835851574826730e+00
1.793333333333333168e-01 1.708789201864165932e+02 2.056396316555335613e+00
1.799999999999999933e-01 1.715218107133877936e+02 2.060855601677709981e+00
1.824941724941724908e-01 1.739271719496042579e+02 2.076668775545975176e+00
1.849883449883449882e-01 1.763327403331344954e+02 2.091177775643458414e+00
1.874825174825174856e-01 1.787384961505539138e+02 2.104483609439442571e+00
1.899766899766899830e-01 1.811444216340754281e+02 2.116698921800504340e+00
1.924708624708624527e-01 1.835505010368420642e+02 2.127947856252979886e+00
1.949650349650349501e-01 1.859567207023087860e+02 2.138365884337005696e+00
1.974592074592074475e-01 1.883630691277010385e+02 2.148099605789258071e+00
1.999533799533799450e-01 1.907695370215751609e+02 2.157306522535871185e+00
2.024475524475524424e-01 1.931761173555397306e+02 2.166154789681022930e+00
2.049417249417249398e-01 1.955828054102358919e+02 2.174822946849924055e+00
2.074358974358974372e-01 1.979895988157073248e+02 2.183499633393595207e+00
2.099300699300699347e-01 2.003964975863256086e+02 2.192383291068974227e+00
2.124242424242424043e-01 2.028035041504656988e+02 2.201681857898616812e+00
2.149184149184149017e-01 2.052106233751605089e+02 2.211612456960707629e+00
2.174125874125873992e-01 2.076178625859865861e+02 2.222401083902030283e+00
2.199067599067598966e-01 2.100252315824632205e+02 2.234282296937944334e+00
2.224009324009323940e-01 2.124327426492683912e+02 2.247498913154014843e+00
2.248951048951048914e-01 2.148404105635979704e+02 2.262301714829129118e+00
2.273892773892773889e-01 2.172482525990122326e+02 2.278949169473545311e+00
2.298834498834498863e-01 2.196562885261356257e+02 2.297707167237120984e+00
2.323776223776223837e-01 2.220645406105866755e+02 2.318848779267794313e+00
2.348717948717948811e-01 2.244730336085292492e+02 2.342654040541360505e+00
2.373659673659673786e-01 2.268817947602524043e+02 2.369409760602205317e+00
2.398601398601398760e-01 2.292908537821920447e+02 2.399409365648436321e+00
2.423543123543123456e-01 2.317002428578191768e+02 2.432952775265752265e+00
2.448484848484848431e-01 2.341099966278256659e+02 2.470346317149392235e+00
2.473426573426573405e-01 2.365201521800483988e+02 2.511902683082220200e+00
2.498368298368298379e-01 2.389307490395771367e+02 2.557940929447982015e+00
2.523310023310023631e-01 2.413418291594977347e+02 2.608786525562301062e+00
2.548251748251748050e-01 2.437534369127271248e+02 2.664771453138001345e+00
2.573193473193473024e-01 2.461656190854070587e+02 2.726234360253803946e+00
2.598135198135197999e-01 2.485784248723212499e+02 2.793520773274332569e+00
2.623076923076922973e-01 2.509919058748154725e+02 2.866983370273095133e+00
2.648018648018647947e-01 2.534061161017031054e+02 2.946982319634176228e+00
2.672960372960372921e-01 2.558211119736464525e+02 3.033885687662019048e+00
2.697902097902097895e-01 2.582369523315152264e+02 3.128069919200465954e+00
2.722843822843822870e-01 2.606536984492310580e+02 3.229920395453598214e+00
2.747785547785547844e-01 2.630714140516210477e+02 3.339832073406835633e+00
2.772727272727272818e-01 2.654901653378144601e+02 3.458210211458129013e+00
2.797668997668997792e-01 2.679100210107295084e+02 3.585471186082611617e+00
2.822610722610722767e-01 2.703310523132123535e+02 3.722043404550231749e+00
2.847552447552447741e-01 2.727533330714072122e+02 3.868368318875611056e+00
2.872494172494172715e-01 2.751769397459490847e+02 4.024901546299196831e+00
2.897435897435897134e-01 2.776019514915893751e+02 4.192114101615992183e+00
2.922377622377622108e-01 2.800284502258757016e+02 4.370493746584125816e+00
2.947319347319347083e-01 2.824565207075186208e+02 4.560546461374909377e+00
2.972261072261072057e-01 2.848862506250926572e+02 4.762798042529798437e+00
2.997202797202797031e-01 2.873177306967091909e+02 4.977795831082457489e+00
3.022144522144522005e-01 2.897510547813036510e+02 5.206110573271133468e+00
3.047086247086246980e-01 2.921863200021543321e+02 5.448338414496744164e+00
3.072027972027971954e-01 2.946236268832177529e+02 5.705103024698856551e+00
3.096969696969696928e-01 2.970630794988085199e+02 5.977057849932031708e+00
3.121911421911421902e-01 2.995047856370678687e+02 6.264888480369301682e+00
3.146853146853146876e-01 3.019488569775411406e+02 6.569315118939946352e+00
3.171794871794871851e-01 3.043954092830151126e+02 6.891095126944209781e+00
3.196736596736596825e-01 3.068445626055350317e+02 7.231025612839183658e+00
3.221678321678321799e-01 3.092964415062124885e+02 7.589946017428592206e+00
3.246620046620046773e-01 3.117511752880305949e+02 7.968740632320586492e+00
3.271561771561771748e-01 3.142088982403280966e+02 8.368340968076084962e+00
3.296503496503496722e-01 3.166697498929754602e+02 8.789727863283186338e+00
3.321445221445221696e-01 3.191338752774129262e+02 9.233933194883483964e+00
3.346386946386946670e-01 3.216014251906580625e+02 9.702041013922091395e+00
3.371328671328671645e-01 3.240725564571098971e+02 1.019518788693338429e+01
3.396270396270396619e-01 3.265474321813881033e+02 1.071456217460008276e+01
3.421212121212121593e-01 3.290262219835873339e+02 1.126140192427901532e+01
3.446153846153846567e-01 3.315091022061261583e+02 1.183699099535461130e+01
3.471095571095571541e-01 3.339962560788867449e+02 1.244265297939054449e+01
3.496037296037296516e-01 3.364878738265672382e+02 1.307974242723691205e+01
3.520979020979020935e-01 3.389841526992593117e+02 1.374963286205096757e+01
3.545920745920745909e-01 3.414852969043337225e+02 1.445370105378003345e+01
3.570862470862470883e-01 3.439915174150782491e+02 1.519330707407441672e+01
3.595804195804195857e-01 3.465030316295409989e+02 1.596976976122324210e+01
3.620745920745920832e-01 3.490200628521975545e+02 1.678433742421093910e+01
