# n_fm^-3 Ebind_MeV Esym_MeV Psnm_MeVfm^-3 K_MeV L_MeV
3.297500000000000431e-01 4.884255655310653310e+00 1.588291017309323649e+01 2.337560825343803117e+01 1.098675036132648074e+03 -1.209098216126273257e+02
3.322250000000000481e-01 5.419759061173976988e+00 1.558703458981831957e+01 2.403386339139615302e+01 1.110482778290344868e+03 -1.164515615468631893e+02
3.347000000000000530e-01 5.962110368881440081e+00 1.530455190218549433e+01 2.470257751314539973e+01 1.122247193280146121e+03 -1.118651522879447384e+02
3.371750000000000580e-01 6.511280153736151988e+00 1.503556311902325149e+01 2.538178641703871108e+01 1.133966036509239757e+03 -1.071636949771643259e+02
3.396500000000000075e-01 7.067238841013477213e+00 1.478013551095743949e+01 2.607152474860555458e+01 1.145637085537237226e+03 -1.023599320713898493e+02
3.421250000000000124e-01 7.629956708756935768e+00 1.453830450598691471e+01 2.677182600577543781e+01 1.157258141344657815e+03 -9.746621096609382562e+01
3.446000000000000174e-01 8.199403890644134663e+00 1.431007559690831954e+01 2.748272254458629504e+01 1.168827029807335293e+03 -9.249445339758179330e+01
3.470750000000000224e-01 8.775550378923298922e+00 1.409542624682844192e+01 2.820424558536996074e+01 1.180341602955614235e+03 -8.745613038113977211e+01
3.495500000000000274e-01 9.358366027417559962e+00 1.389430777978268239e+01 2.893642521940893175e+01 1.191799740174976932e+03 -8.236224234987470538e+01
3.520250000000000323e-01 9.947820554599047682e+00 1.370664724560603176e+01 2.967929041605441398e+01 1.203199349527181766e+03 -7.722330409685272912e+01
3.545000000000000373e-01 1.054388354672698824e+01 1.353234924911069115e+01 3.043286903030036683e+01 1.214538368812470935e+03 -7.204933420549436107e+01
3.569750000000000423e-01 1.114652446105753825e+01 1.337129773519964004e+01 3.119718781079996006e+01 1.225814766657105565e+03 -6.684984854250069475e+01
3.594500000000000473e-01 1.175571262910796122e+01 1.322335772282698585e+01 3.197227240831983863e+01 1.237026543974488959e+03 -6.163385746120715680e+01
3.619250000000000522e-01 1.237141725999526898e+01 1.308837698179585018e+01 3.275814738461474462e+01 1.248171734545150684e+03 -5.640986639878148878e+01
3.644000000000000572e-01 1.299360744382761368e+01 1.296618764737491603e+01 3.355483622171675506e+01 1.259248406287943681e+03 -5.118587941512642914e+01
3.668750000000000622e-01 1.362225215515411492e+01 1.285660776929596238e+01 3.436236133162668693e+01 1.270254662511458037e+03 -4.596940537083346356e+01
3.693500000000000116e-01 1.425732025648107992e+01 1.275944279187406494e+01 3.518074406639004792e+01 1.281188642208896226e+03 -4.076746643395899383e+01
3.718250000000000166e-01 1.489878050183017422e+01 1.267448696351274506e+01 3.601000472855298540e+01 1.292048521316395863e+03 -3.558660855330207085e+01
3.743000000000000216e-01 1.554660154035730102e+01 1.260152467417636046e+01 3.685016258197987327e+01 1.302832513541432263e+03 -3.043291366171654744e+01
3.767750000000000266e-01 1.620075192001741016e+01 1.254033172028049137e+01 3.770123586301525620e+01 1.313538871170198945e+03 -2.531201325847150585e+01
3.792500000000000315e-01 1.686120009127603225e+01 1.249067649721006035e+01 3.856324179198321644e+01 1.324165885827326747e+03 -2.022910315459458630e+01
3.817250000000000365e-01 1.752791441087060775e+01 1.245232111987157708e+01 3.943619658501336289e+01 1.334711888779858100e+03 -1.518895918908813059e+01
3.842000000000000415e-01 1.820086314560421670e+01 1.242502247229160872e+01 4.032011546616445230e+01 1.345175251987918045e+03 -1.019595361815682111e+01
3.866750000000000465e-01 1.888001447618512429e+01 1.240853318788313686e+01 4.121501267984262995e+01 1.355554388650751662e+03 -5.254072016024913694e+00
3.891500000000000514e-01 1.956533650109929567e+01 1.240260256196267363e+01 4.212090150349382611e+01 1.365847753579339951e+03 -3.669305601313074261e-01
3.916250000000000564e-01 2.025679724051565245e+01 1.240697739853656856e+01 4.303779426056036073e+01 1.376053843751773911e+03 4.462206536289318848e+00
3.941000000000000614e-01 2.095436464022247947e+01 1.242140279377851186e+01 4.396570233367970104e+01 1.386171198719556060e+03 9.230409528193501245e+00
3.965750000000000663e-01 2.165800657558770581e+01 1.244562285837295335e+01 4.490463617811627728e+01 1.396198401040096996e+03 1.393506571146491346e+01
3.990500000000000158e-01 2.236769085554658432e+01 1.247938138149563159e+01 4.585460533540646111e+01 1.406134076530789343e+03 1.857386216786177613e+01
4.015250000000000208e-01 2.308338522660562830e+01 1.252242243881894268e+01 4.681561844720368981e+01 1.415976894719656912e+03 2.314476879260802278e+01
4.040000000000000258e-01 2.380505737686780776e+01 1.257449094754457875e+01 4.778768326930793364e+01 1.425725568818353622e+03 2.764602166173246189e+01
4.064750000000000307e-01 2.453267494007059213e+01 1.263533317085324725e+01 4.877080668586245338e+01 1.435378856133718728e+03 3.207610680275810466e+01
4.089500000000000357e-01 2.526620549963195117e+01 1.270469717480222371e+01 4.976499472370710464e+01 1.444935558188990854e+03 3.643374442799645863e+01
4.114250000000000407e-01 2.600561659271397730e+01 1.278233324007000604e+01 5.077025256686511057e+01 1.454394520442810290e+03 4.071787367229439525e+01
4.139000000000000457e-01 2.675087571427695821e+01 1.286799423151799360e+01 5.178658457115909641e+01 1.463754633006641825e+03 4.492763788333601127e+01
4.163750000000000506e-01 2.750195032115038885e+01 1.296143592793544386e+01 5.281399427893097709e+01 1.473014830219916576e+03 4.906237045606834357e+01
4.188500000000000556e-01 2.825880783609397895e+01 1.306241731468223932e+01 5.385248443385717110e+01 1.482174090428790123e+03 5.312158125108152262e+01
4.213250000000000606e-01 2.902141565185706895e+01 1.317070084154242693e+01 5.490205699584504373e+01 1.491231436339539187e+03 5.710494362746187136e+01
4.238000000000000655e-01 2.978974113523202050e+01 1.328605264841584699e+01 5.596271315599170748e+01 1.500185934655416986e+03 6.101228204667012989e+01
4.262750000000000150e-01 3.056375163109737514e+01 1.340824276078972588e+01 5.703445335159665319e+01 1.509036695930205042e+03 6.484356027685869606e+01
4.287500000000000200e-01 3.134341446644850748e+01 1.353704525754567101e+01 5.811727728121155678e+01 1.517782874395400768e+03 6.859887022048512506e+01
4.312250000000000250e-01 3.212869695441361273e+01 1.367223841295019326e+01 5.921118391971316441e+01 1.526423667590640207e+03 7.227842129745054933e+01
4.337000000000000299e-01 3.291956639825104958e+01 1.381360481494794001e+01 6.031617153343535165e+01 1.534958316346435367e+03 7.588253043252987595e+01
4.361750000000000349e-01 3.371599009532576474e+01 1.396093146163286391e+01 6.143223769510831289e+01 1.543386104323695008e+03 7.941161258110338395e+01
4.386500000000000399e-01 3.451793534106673178e+01 1.411400983760815819e+01 6.255937929911533502e+01 1.551706357424667203e+03 8.286617181749967642e+01
4.411250000000000449e-01 3.532536943289130704e+01 1.427263597206002643e+01 6.369759257643249839e+01 1.559918443889292348e+03 8.624679296678678497e+01
4.436000000000000498e-01 3.613825967410957674e+01 1.443661048004555880e+01 6.484687310966018003e+01 1.568021773520672923e+03 8.955413373986490910e+01
4.460750000000000548e-01 3.695657337779391582e+01 1.460573858854058926e+01 6.600721584798606045e+01 1.576015797291665422e+03 9.278891736395220846e+01
4.485500000000000598e-01 3.778027787061569143e+01 1.477983014860022237e+01 6.717861512208764907e+01 1.583900007153825982e+03 9.595192568594630700e+01
4.510250000000000647e-01 3.860934049665183920e+01 1.495869963498315158e+01 6.836106465896483542e+01 1.591673935043587790e+03 9.904399274550523558e+01
4.535000000000000697e-01 3.944372862114914824e+01 1.514216613447702287e+01 6.955455759669439431e+01 1.599337152809619965e+03 1.020659987808226390e+02
4.559750000000000192e-01 4.028340963425262089e+01 1.533005332404237109e+01 7.075908649909627002e+01 1.606889271520937427e+03 1.050188646373653967e+02
4.584500000000000242e-01 4.112835095469563385e+01 1.552218943981536725e+01 7.197464337029913395e+01 1.614329940714764689e+03 1.079035465712684640e+02
4.609250000000000291e-01 4.197852003344030436e+01 1.571840723797539141e+01 7.320121966920208934e+01 1.621658848273144486e+03 1.107210314499031654e+02
4.634000000000000341e-01 4.283388435728375043e+01 1.591854394844983034e+01 7.443880632381882378e+01 1.628875719204488178e+03 1.134723322951589211e+02
4.658750000000000391e-01 4.369441145240978130e+01 1.612244122219423659e+01 7.568739374549943477e+01 1.635980315279140541e+03 1.161584841455062218e+02
4.683500000000000441e-01 4.456006888789659115e+01 1.632994507287180141e+01 7.694697184302305004e+01 1.642972434879164894e+03 1.187805402479960577e+02
